"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"43","18.84241180233079","32.809391866579524","0","0","0.009300000000000086","0.01","0.008600000000000052","1560","0.00021991086006322596","0","0.00021991086006322596","0.00021991086006322596","43_44:0.0026295732403266436;43_42:0.0017753323489782258","43_44:68;43_42:68","true"
"44","190.42558980266784","232.62330926144705","0","0","0.018199999999999994","0.0168","0.01959999999999995","1560","0.0001937119550084473","0","0.0001937119550084473","0.0001937119550084473","44_35:0.0025199122945220864;44_45:0.0033097676707908863;44_43:0.0026295732403266436","44_35:108;44_45:68;44_43:68","true"
"45","47.389164263849004","75.29291189433631","0","0","0.009000000000000008","0.014","0.0040000000000000036","1560","0.00036326296080134484","0","0.00036326296080134484","0.00036326296080134484","45_44:0.0033097676707908863;45_46:0.005144446654666207","45_44:68;45_46:68","true"
"46","187.7121675531551","186.26767336739306","0","0","0.0351999999999999","0.03979999999999995","0.0306","1560","0.00017099489008018785","0","0.00017099489008018785","0.00017099489008018785","46_55:0.002820455191354765;46_45:0.005144446654666207;46_47:0.00374846512027438","46_55:68;46_45:68;46_47:68","true"
"47","203.52122440945288","64.1858130631254","0","0","0.009199999999999986","0.01319999999999999","0.0052","1560","0.0003791727225694493","0","0.0003791727225694493","0.0003791727225694493","47_48:0.002552604230921046;47_46:0.00374846512027438","47_48:68;47_46:68","true"
"48","159.75744934270944","295.36535021105266","0","0","0.01100000000000001","0.0132","0.00880000000000003","1560","0.0001922347491809704","0","0.0001922347491809704","0.0001922347491809704","48_36:0.006329051232344007;48_49:0.0027958811439230125;48_47:0.002552604230921046","48_36:68;48_49:68;48_47:68","true"
"49","185.65008279096767","128.8609707258157","0","0","0.01419999999999999","0.0174","0.01100000000000001","1560","0.00025550700020736085","0","0.00025550700020736085","0.00025550700020736085","49_48:0.0027958811439230125;49_50:0.0027654984482267386","49_48:68;49_50:68","true"
"50","206.94863552281612","242.81595671161523","0","0","0.04039999999999999","0.02180000000000004","0.059","1560","0.00046447628815814504","0","0.00046447628815814504","0.00046447628815814504","50_56:0.002343939377259574;50_49:0.0027654984482267386;50_51:0.002114856010866001","50_56:68;50_49:68;50_51:68","true"
"51","287.29208279333386","158.07323725851438","0","0","0.005600000000000049","0.007","0.0041999999999999815","1560","0.00024746500269092213","0","0.00024746500269092213","0.00024746500269092213","51_52:0.0019339481565878447;51_50:0.002114856010866001","51_52:68;51_50:68","true"
"52","197.24597379354933","372.1903223136958","0","0","0.01649999999999996","0.009199999999999986","0.0238","1560","0.00015647805482058298","0","0.00015647805482058298","0.00015647805482058298","52_37:0.0017634496684301448;52_51:0.0019339481565878447","52_37:104;52_51:68","true"
"53","63.043407231419614","54.435118277370876","0","0","0.012499999999999956","0.0208","0.0041999999999999815","1560","0.0018359175682749263","0","0.0018359175682749263","0.0018359175682749263","53_57:0.00565625728832711;53_38:0.006148207595690347","53_57:108;53_38:68","true"
"54","192.83621532533758","173.92514561188523","0","0","0.005299999999999971","0.0082","0.0023999999999999577","1560","0.00020993305995988863","0","0.00020993305995988863","0.00020993305995988863","54_61:0.0085868400001064;54_42:0.0019542667996847174","54_61:152;54_42:80","true"
"55","209.52428761752535","127.32648685973709","0","0","0.006299999999999972","0.008199999999999985","0.0044","1560","0.00024753773318570354","0","0.00024753773318570354","0.00024753773318570354","55_65:0.003107605900963456;55_46:0.002820455191354765","55_65:120;55_46:68","true"
"56","258.1198340756651","170.96010246080453","0","0","0.007900000000000018","0.009","0.006800000000000028","1560","0.0002498198065577719","0","0.0002498198065577719","0.0002498198065577719","56_69:0.004284462786515869;56_50:0.002343939377259574","56_69:160;56_50:68","true"
"57","136.8609934362549","169.1883451476463","0","0","0.012700000000000045","0.015800000000000036","0.0096","1560","0.00047274994779019746","0","0.00047274994779019746","0.00047274994779019746","57_53:0.00565625728832711;57_58:0.0017907247489247768","57_53:108;57_58:68","true"
"58","146.2640170529985","178.38363334230988","0","0","0.013800000000000034","0.0182","0.009399999999999964","1560","0.0002828304357906888","0","0.0002828304357906888","0.0002828304357906888","58_57:0.0017907247489247768;58_59:0.002693675755633007","58_57:68;58_59:68","true"
"59","105.25767579374303","110.82380896612224","0","0","0.021500000000000075","0.027200000000000002","0.0158","1560","0.0004015113963888874","0","0.0004015113963888874","0.0004015113963888874","59_72:0.002551865911377793;59_60:0.0022921855616872266;59_58:0.002693675755633007","59_72:68;59_60:68;59_58:68","true"
"60","183.53096354156241","227.24533904061312","0","0","0.012800000000000034","0.023","0.0026000000000000467","1560","0.0003696265798375029","0","0.0003696265798375029","0.0003696265798375029","60_61:0.0032711679593244725;60_59:0.0022921855616872266","60_61:68;60_59:68","true"
"61","143.68261155572128","190.64305110742802","0","0","0.010499999999999954","0.0116","0.009399999999999964","1560","0.00041576093972141076","0","0.00041576093972141076","0.00041576093972141076","61_54:0.0085868400001064;61_60:0.0032711679593244725;61_62:0.007874017478564393","61_54:152;61_60:68;61_62:68","true"
