trial,width,depth,sdrp,time,fidelity
0,25,1,1.0,0.0005756799998835049,0.41841101524458746
0,25,1,0.9875,0.0006504250000034517,0.4184111964437918
0,25,1,0.9750000000000001,0.0006066470000405388,0.41841101524458746
0,25,1,0.9625,0.0005993669999497797,0.4184109840705387
0,25,1,0.9500000000000001,0.0006537649999245332,0.8041445827583893
0,25,1,0.9375,0.0006842070001766842,0.8041445116111822
0,25,1,0.925,0.0006270110000059503,0.8041445348276385
0,25,1,0.9125000000000001,0.0005701529998987098,0.8041446082216018
0,25,1,0.9,0.0006009940000240022,0.8041445715246193
0,25,1,0.8875000000000001,0.0006028380000770994,0.8041446082216018
0,25,1,0.875,0.0006657209999048064,0.8041445116111822
0,25,1,0.8625,0.0006149410000944044,0.8041445348276385
0,25,1,0.8500000000000001,0.0006409049999547278,0.804144474914204
0,25,1,0.8375,0.00063077599997996,0.8041444030180886
0,25,1,0.8250000000000001,0.0006015559999923425,0.8041446681350461
0,25,1,0.8125,0.0006181850001212297,0.8041445715246193
0,25,1,0.8,0.0006097969999245834,0.804144656901275
0,25,1,0.7875000000000001,0.0006128790000730078,0.8041445116111822
0,25,1,0.775,0.0006082449999667006,0.804144728048495
0,25,1,0.7625000000000001,0.0006057589998818003,0.8041445715246193
0,25,1,0.75,0.0006289960001595318,0.8041446314380609
0,25,1,0.7375,0.0006200939999416732,0.8041444037670065
0,25,1,0.7250000000000001,0.0006168320001052052,0.8041445116111822
0,25,1,0.7125,0.0006098310000197671,0.8041444629315176
0,25,1,0.7000000000000001,0.0006093219999456778,0.8041446681350461
0,25,1,0.6875,0.000622788000100627,0.8041446314380609
0,25,1,0.675,0.000620486000116216,0.804144474914204
0,25,1,0.6625000000000001,0.0006136409999726311,0.8041445116111822
0,25,1,0.65,0.0006085049999455805,0.804144656901275
0,25,1,0.6375000000000001,0.0006091830000514165,0.8041445348276385
0,25,1,0.625,0.0006021840001722012,0.804144728048495
0,25,1,0.6125,0.0006330620001335774,0.8041444037670065
0,25,1,0.6000000000000001,0.0006053580000298098,0.8041446314380609
0,25,1,0.5875,0.0006121359999724518,0.8041446681350461
0,25,1,0.5750000000000001,0.0006148200000097859,0.8041443438535818
0,25,1,0.5625,0.0006161129999782133,0.8041445116111822
0,25,1,0.55,0.0006099939998875925,0.8041445715246193
0,25,1,0.5375,0.0006120209998243809,0.8041445490570799
0,25,1,0.525,0.0005887499999062129,0.8041445490570799
0,25,1,0.5125000000000001,0.0006796709999434825,0.8041446082216018
0,25,1,0.5,0.0006068079999295151,0.8041445827583893
0,25,1,0.48750000000000004,0.0006431749998228042,0.8041445003774131
0,25,1,0.47500000000000003,0.0006836329998805013,0.8041445827583893
0,25,1,0.4625,0.0006220239999947808,0.8041447879619483
0,25,1,0.45,0.0006727679999585234,0.804144728048495
0,25,1,0.4375,0.0006103279999933875,0.8041443550873485
0,25,1,0.42500000000000004,0.000590062999890506,0.8041446314380609
0,25,1,0.41250000000000003,0.0006105929999193904,0.804144728048495
0,25,1,0.4,0.0006811040000229696,0.8041445348276385
0,25,1,0.3875,0.0006004659999234718,0.804144656901275
0,25,1,0.375,0.0006179110000630317,0.9908721446506004
0,25,1,0.36250000000000004,0.0005951790001290647,0.9908720256066216
0,25,1,0.35000000000000003,0.0006075399999190267,0.990871906562657
0,25,1,0.3375,0.0006175119999625167,0.9908720846671983
0,25,1,0.325,0.0006520219999401888,0.9908720256066216
0,25,1,0.3125,0.0006067219999295048,0.9908719656232268
0,25,1,0.30000000000000004,0.000600657999939358,0.9908720256066216
0,25,1,0.28750000000000003,0.0006131360000836139,0.9908720256066216
0,25,1,0.275,0.000614997999946354,0.9908722046340059
0,25,1,0.2625,0.0006137689999832219,0.9908720256066216
0,25,1,0.25,0.0006050680001408182,0.9908720256066216
0,25,1,0.23750000000000002,0.0006030030001511477,0.990871906562657
0,25,1,0.225,0.00060368100002961,0.990871906562657
0,25,1,0.21250000000000002,0.0005926730000282987,0.9908719656232268
0,25,1,0.2,0.0006010619999869959,0.9908720256066216
0,25,1,0.1875,0.0005982800000765565,0.9908720846671983
0,25,1,0.17500000000000002,0.0006163050002214732,0.9908719656232268
0,25,1,0.1625,0.0006200780001108797,0.9908719656232268
0,25,1,0.15000000000000002,0.0006309529999271035,0.9908720256066216
0,25,1,0.1375,0.0006123810001099628,0.990871906562657
0,25,1,0.125,0.0006243850000373641,0.9908720256066216
0,25,1,0.1125,0.00060650499995063,0.9908721446506004
0,25,1,0.1,0.0006034659998022107,0.9908719656232268
0,25,1,0.08750000000000001,0.000603308000108882,0.9908720256066216
0,25,1,0.07500000000000001,0.0005992070000502281,0.9908720256066216
0,25,1,0.0625,0.0006921250001141743,0.9908721446506004
0,25,1,0.05,0.0006130799999937153,0.9908720256066216
0,25,1,0.037500000000000006,0.0006960230000458978,0.9908722636945935
0,25,1,0.025,0.0006807309998748678,0.9908720256066216
0,25,1,0.0125,0.0006669550000424351,1.0
0,25,1,0.0,0.0006704760000957322,1.0
1,25,1,1.0,8.463899985144963e-05,1.0
1,25,1,0.9875,5.414700012806861e-05,1.0
1,25,1,0.9750000000000001,4.9335000085193315e-05,1.0
1,25,1,0.9625,5.073500005892129e-05,1.0
1,25,1,0.9500000000000001,5.3371999911178136e-05,1.0
1,25,1,0.9375,5.083599990030052e-05,1.0
1,25,1,0.925,4.9437000143370824e-05,1.0
1,25,1,0.9125000000000001,5.8308000006945804e-05,1.0
1,25,1,0.9,5.905400007577555e-05,1.0
1,25,1,0.8875000000000001,5.4639999916616944e-05,1.0
